Z,A,EC_Halflife(s)
79,183,8.01702
79,184,6.99086
79,185,98.46654
79,186,151.53333
79,187,412.27686
79,188,1569.85596
79,189,16153.36523
79,190,78239.32031
79,191,1643533.87500
79,192,532828.81250
79,193,9947880.00000
79,194,4142770.25000
79,195,525601792.00000
79,196,9722947.00000
79,198,6931471872.00000
80,170,0.11784
80,171,0.24118
80,172,0.30824
80,173,0.25239
80,174,0.55408
80,175,0.33111
80,176,0.99977
80,177,1.52944
80,178,2.67394
80,179,3.39947
80,180,4.10994
80,181,1.69039
80,182,10.24092
80,183,2.35979
80,184,24.06436
80,185,54.80954
80,186,92.76331
80,187,135.39899
80,188,573.25317
80,189,572.38708
80,190,12472.70898
80,191,82167.80469
80,192,3466373.75000
80,193,2265.82642
80,194,6931471872.00000
80,195,1259406.00000
80,197,9949013.00000
81,173,0.13776
81,174,0.18021
81,175,0.36018
81,176,0.14639
81,177,0.47129
81,178,0.58217
81,179,0.80291
81,180,0.25561
81,181,1.75762
81,182,2.05260
81,183,4.13167
81,184,6.04340
81,185,12.41913
81,186,17.92185
81,187,39.83224
81,188,62.46532
81,189,141.17624
81,190,551.50848
81,191,868.85596
81,192,9953.62305
81,193,778457.12500
81,194,456454.34375
81,195,1962343.37500
81,196,47969.01172
81,197,9663249.00000
81,198,173676.51562
81,199,46088008.00000
81,200,8099520512.00000
81,201,6931471872.00000
81,202,6931471872.00000
81,204,6931471872.00000
82,175,0.06797
82,176,0.11966
82,177,0.10895
82,178,0.24427
82,179,0.19312
82,180,0.75985
82,181,0.25819
82,182,1.89095
82,183,2.28508
82,184,4.92695
82,185,6.00121
82,186,12.50421
82,187,15.10387
82,188,34.62008
82,189,40.78293
82,190,86.89791
82,191,134.49332
82,192,560.72900
82,193,623.19885
82,194,2383.51855
82,195,5193.92432
82,196,11453.84180
82,197,102910.65625
82,198,6931471872.00000
82,199,32570.13281
82,200,6931471872.00000
82,201,36192.91016
82,202,6931471872.00000
82,203,1712224128.00000
82,205,6931471872.00000
83,178,0.07352
83,179,0.11309
83,180,0.16522
83,181,0.21756
83,182,0.26024
83,183,0.28000
83,184,0.20913
83,185,0.77087
83,186,0.32902
83,187,0.74849
83,188,1.28542
83,189,2.20143
83,190,2.08901
83,191,3.81216
83,192,15.97512
83,193,54.29961
83,194,51.01542
83,195,327.23264
83,196,204.57217
