n,z,halflife(Seconds),d-halflife
51,35,55.1,0.3999999999999986
51,36,4578,30
51,37,1066.3799999999999,0.6599999999999682
51,38,4368643.2,2160
51,39,230590.8,71.99999999998545
51,40,STABLE,
51,41,1095048720000000,75738240000000
51,42,126230400000,25246080000
51,43,17580,60
51,44,5914.8,46.79999999999973
51,45,594,6
51,46,186,5.3999999999999915
51,47,47.5,0.29999999999999716
51,48,16,3
51,49,5.8,0.20000000000000018
51,50,1.7,0.30000000000000004
52,28,0.024,0.021500000000000002
52,30,0.228,0.010000000000000009
52,31,0.30810000000000004,0.0010000000000000009
52,32,0.954,0.014000000000000012
52,33,2.021,0.01200000000000001
52,34,14.3,0.3000000000000007
52,35,55.65,0.13000000000000256
52,36,10170,68.40000000000055
52,37,919.2,6
52,38,912014640,946728.0000000596
52,39,5055264,5184
52,40,STABLE,
52,41,STABLE,
52,42,STABLE,
52,43,72000,360
52,44,STABLE,
52,45,1842,36.000000000000114
52,46,1062,18
52,47,124,3
52,48,49.1,0.5
52,49,15.1,0.3000000000000007
52,50,3.8,0.20000000000000018
53,30,0.117,0.020000000000000004
53,31,0.085,0.010000000000000002
53,32,0.503,0.018000000000000016
53,33,0.945,0.008000000000000007
53,34,5.5,0.13999999999999968
53,35,16.34,0.0799999999999983
53,36,189,2.4000000000000057
53,37,158,5
53,38,34740,216
53,39,12744,36
53,40,50807736000000,1577880000000
53,41,640619280000,50492160000
53,42,STABLE,
53,43,369792,6048.000000000029
53,44,244512,19872
53,45,523.2,7.199999999999932
53,46,1284,11.999999999999886
53,47,120.6,5.3999999999999915
53,48,81.60000000000001,3
53,49,23.3,0.10000000000000142
53,50,7,0.20000000000000018
53,51,0.44,0.12999999999999998
53,52,6.2e-7,6.999999999999997e-8
54,31,0.092,0.0040000000000000036
54,32,0.226,0.02099999999999999
54,33,0.484,0.04000000000000001
54,34,1.53,0.06000000000000005
54,35,4.357,0.02200000000000024
54,36,32.32,0.09000000000000341
54,37,58.2,0.29999999999999716
54,38,9576,144
54,39,36648,288
54,40,STABLE,
54,41,3023222.4,518.3999999999069
54,42,STABLE,
54,43,132857496000000,5049216000000
54,44,STABLE,
54,45,1391040.0000000002,17279.999999999884
54,46,313632,7776
54,47,666,18.000000000000057
54,48,330,30
54,49,65,7
54,50,20.8,0.5
54,51,1.22,0.1100000000000001
54,52,0.00007,0.000017
55,31,0.043000000000000003,0.018000000000000002
55,32,0.14,
55,33,0.2,
55,34,0.43,0.04999999999999999
55,35,1.92,0.020000000000000018
55,36,8.57,0.03999999999999915
55,37,4.492,0.019999999999999574
